,貨幣,代碼,價格,一日,七日,總市值,成交量
0,CCI30 (虛擬貨幣指數),CCI30,6424.72,0.03%,-%,,
1,Bitcoin (比特幣),BTC,17154.3,-0.38%,1.07%,329.89B,18.68B
2,Ethereum (以太幣),ETH,1265.11,-1.24%,-1.51%,154.87B,5.05B
3,Tether (泰達幣),USDT,1.0003,-0.03%,0%,65.71B,22.84B
4,Binance Coin (幣安幣),BNB,286.9,-1.13%,-1.36%,45.89B,620.80M
5,USD Coin,USDC,1,0%,0.02%,42.72B,1.97B
6,Binance USD,BUSD,1,0%,0%,22.10B,5.25B
7,Ripple (瑞波幣),XRP,0.38784,-0.73%,-0.64%,19.55B,594.14M
8,Dogecoin (狗狗幣),DOGE,0.096914,-1.58%,-2.61%,12.86B,397.40M
9,Cardano (艾達幣),ADA,0.312,-0.62%,-1.74%,10.75B,152.91M
10,Polygon,MATIC,0.906,-1.91%,-1.92%,7.91B,228.15M
11,Polkadot (波卡幣),DOT,5.29,-1.68%,-5.17%,6.06B,133.78M
12,Dai,DAI,0.9998,0%,0.02%,5.87B,100.18M
13,Litecoin (萊特幣),LTC,76.4,-1.95%,-0.67%,5.49B,387.09M
14,Shiba Inu,SHIB,0.00001,-0.75%,-0.63%,5.07B,78.26M
15,TRON,TRX,0.055002,0.93%,2.00%,5.06B,168.60M
16,Solana,SOL,13.64,-0.10%,0.67%,5.00B,206.11M
17,Uniswap,UNI,6.1973,1.14%,-2.08%,4.72B,66.89M
18,Avalanche,AVAX,13.42,-0.29%,0.13%,4.17B,109.62M
19,UNUS SED LEO,LEO,3.7349,-1.17%,-8.01%,3.57B,1.41M
20,Chainlink,LINK,6.82,-2.44%,-7.97%,3.46B,155.65M
21,Wrapped Bitcoin,WBTC,17127.9,-0.44%,0.92%,3.42B,53.77M
22,Cosmos,ATOM,9.7045,-1.49%,-4.93%,2.78B,83.92M
23,Monero (門羅幣),XMR,149.055,1.03%,1.29%,2.71B,69.04M
24,Ethereum Classic (古典以太幣),ETC,19.1298,-0.36%,-2.49%,2.64B,91.98M
25,Stellar,XLM,0.08573,0.52%,-1.83%,2.21B,36.48M
26,Bitcoin Cash,BCH,109.8,-1.70%,-1.03%,2.12B,115.77M
27,Algorand,ALGO,0.2299,2.45%,-4.52%,1.64B,46.87M
28,Cronos,CRO,0.0644,0%,-0.33%,1.63B,23.39M
29,Filecoin,FIL,4.4,-0.73%,-2.59%,1.48B,76.35M
